source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,12-inch diameter water line by trenchless construction,"12""",Unspecified,Open Cut,LF,4858.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,12-inch diameter water line in PPCA limits,"12""",Unspecified,Open Cut,LF,285.0,400.0,400.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"12-inch diameter sanitary sewer, by open-cut (Pressure rated)","12""",Unspecified,Open Cut,LF,16.0,189.11,189.11,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,12-inch diameter water line by trenchless construction,"12""",Unspecified,Open Cut,LF,637.0,210.0,210.0,180.0,160.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,12-inch diameter water line by trenchless construction with restrained joints,"12""",Unspecified,Open Cut,LF,497.0,220.0,220.0,200.0,160.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,12-inch diameter water line by trenchless construction with restrained joints,"12""",Unspecified,Open Cut,LF,4038.0,122.89,122.89,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install 12-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","12""",Unspecified,Open Cut,LF,62.0,100.0,100.0,220.0,300.0,225.0,300.0
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,12-inch diameter water line by trenchless construction,"12""",Unspecified,Open Cut,LF,637.0,210.0,210.0,180.0,160.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,12-inch diameter water line by trenchless construction with restrained joints,"12""",Unspecified,Open Cut,LF,497.0,220.0,220.0,200.0,160.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,12-inch diameter water line by trenchless construction with restrained joints,"12""",Unspecified,Open Cut,LF,4038.0,122.89,122.89,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"12-inch diameter sanitary sewer, by open-cut (Pressure rated)","12""",Unspecified,Open Cut,LF,16.0,189.11,189.11,,,,
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install 12-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","12""",Unspecified,Open Cut,LF,62.0,100.0,100.0,220.0,300.0,225.0,300.0
